Date,HomeTeam,AwayTeam,Result,HomeWinOdds,DrawOdds,AwayWinOdds,OverOdds,UnderOdds,HTeam,HM,HW,HD,HL,HG,HGA,HPTS,HxG,HNPxG,HxGA,HNPxGA,HNPxGD,HPPDA,HOPPDA,HDC,HODC,HxPTS,ATeam,AM,AW,AD,AL,AG,AGA,APTS,AxG,ANPxG,AxGA,ANPxGA,ANPxGD,APPDA,AOPPDA,ADC,AODC,AxPTS
18/09/2021,Arminia Bielefeld,Hoffenheim,0-0,3.5,3.6,2.05,1.72,2.1,Arminia Bielefeld,4,0,3,1,3,5,3,3.5,3.5,8.13,7.37,-3.87,13.81,7.58,14,30,2.27,Hoffenheim,4,1,1,2,8,7,4,7.35,7.35,7.43,7.43,-0.08,9.56,15.56,30,30,5.04
18/09/2021,Mainz 05,Freiburg,0-0,2.0,3.6,3.6,1.8,2.0,Mainz 05,4,3,0,1,6,2,9,5.82,5.82,2.71,2.71,3.11,10.89,8.64,22,17,7.5,Freiburg,4,2,2,0,6,4,8,5.45,5.45,5.85,5.85,-0.4,12.64,8.92,20,37,5.24
18/09/2021,FC Cologne,RasenBallsport Leipzig,1-1,4.5,4.0,1.72,1.57,2.37,FC Cologne,4,2,1,1,8,6,7,7.0,7.0,6.78,6.78,0.22,7.57,11.23,23,23,5.78,RasenBallsport Leipzig,4,1,0,3,5,6,3,5.5,4.74,7.64,6.89,-2.15,7.45,12.35,39,19,5.12
19/09/2021,VfB Stuttgart,Bayer Leverkusen,1-3,3.3,3.75,2.1,1.53,2.5,VfB Stuttgart,4,1,1,2,8,9,4,8.73,8.73,7.01,6.25,2.48,10.73,11.13,28,34,6.28,Bayer Leverkusen,4,2,1,1,12,6,7,5.33,5.33,6.09,4.57,0.76,11.52,11.76,20,25,5.07
19/09/2021,Borussia Dortmund,Union Berlin,4-2,1.36,5.25,8.0,1.44,2.75,Borussia Dortmund,4,3,0,1,13,9,9,10.03,9.28,5.85,5.85,3.43,9.31,15.6,57,19,8.24,Union Berlin,4,1,3,0,5,4,6,6.07,6.07,4.12,4.12,1.95,15.81,9.19,17,23,6.91
19/09/2021,Wolfsburg,Eintracht Frankfurt,1-1,1.8,3.8,4.33,1.72,2.1,Wolfsburg,4,4,0,0,6,1,12,5.9,4.39,3.3,2.55,1.84,8.5,11.46,33,16,6.95,Eintracht Frankfurt,4,0,3,1,4,7,3,5.95,5.95,4.87,4.87,1.08,7.33,16.35,26,26,6.69
24/09/2021,Greuther Fuerth,Bayern Munich,1-3,23.0,13.0,1.07,1.14,5.5,Greuther Fuerth,5,0,1,4,3,13,1,6.14,4.63,10.85,10.09,-5.47,11.14,8.61,21,45,4.62,Bayern Munich,5,4,1,0,20,4,13,21.44,20.68,5.1,5.1,15.58,9.21,12.77,76,19,13.59
25/09/2021,Eintracht Frankfurt,FC Cologne,1-1,2.0,3.75,3.5,1.57,2.37,Eintracht Frankfurt,5,0,4,1,5,8,4,6.23,6.23,6.72,6.72,-0.49,7.73,14.27,29,31,6.92,FC Cologne,5,2,2,1,9,7,8,8.69,8.69,8.82,8.82,-0.13,7.08,11.2,32,37,6.89
25/09/2021,Hoffenheim,Wolfsburg,3-1,2.75,3.5,2.5,1.66,2.2,Hoffenheim,5,1,2,2,8,7,5,8.89,8.89,8.43,8.43,0.45,10.89,14.9,38,37,6.83,Wolfsburg,5,4,1,0,7,2,13,7.75,6.24,3.58,2.83,3.41,8.19,10.91,38,19,9.58
25/09/2021,Bayer Leverkusen,Mainz 05,1-0,1.72,4.0,4.5,1.61,2.3,Bayer Leverkusen,5,3,1,1,15,7,10,6.93,6.93,7.51,5.99,0.93,12.02,10.04,23,33,6.59,Mainz 05,5,3,1,1,6,2,10,7.08,7.08,3.07,3.07,4.01,10.22,8.4,28,19,9.65
25/09/2021,RasenBallsport Leipzig,Hertha Berlin,6-0,1.3,5.5,10.0,1.57,2.37,RasenBallsport Leipzig,5,1,1,3,6,7,4,7.53,6.77,9.33,8.57,-1.8,7.95,10.16,53,28,6.73,Hertha Berlin,5,2,0,3,7,12,6,6.05,5.3,9.02,8.26,-2.97,14.47,6.56,17,50,6.07
25/09/2021,Union Berlin,Arminia Bielefeld,1-0,1.66,3.8,5.5,2.06,1.84,Union Berlin,5,1,3,1,7,8,6,7.81,7.05,5.22,5.22,1.83,16.29,9.03,20,28,8.81,Arminia Bielefeld,5,0,4,1,3,5,4,4.5,4.5,9.67,8.91,-4.41,13.66,9.16,21,38,3.21
25/09/2021,Borussia M.Gladbach,Borussia Dortmund,1-0,4.33,4.2,1.72,1.36,3.2,Borussia M.Gladbach,5,1,1,3,5,9,4,8.05,7.29,8.45,8.45,-1.16,8.11,14.14,36,38,6.62,Borussia Dortmund,5,4,0,1,17,11,12,11.13,10.38,7.58,6.82,3.55,9.11,16.12,62,22,9.08
26/09/2021,Bochum,VfB Stuttgart,0-0,3.0,3.5,2.3,1.72,2.1,Bochum,5,1,0,4,4,13,3,4.33,4.33,14.0,13.25,-8.91,13.48,8.68,14,41,3.58,VfB Stuttgart,5,1,1,3,9,12,4,10.15,10.15,8.6,7.85,2.31,8.84,11.62,36,37,7.44
26/09/2021,Freiburg,Augsburg,3-0,1.85,3.6,4.33,2.0,1.8,Freiburg,5,2,3,0,6,4,9,5.82,5.82,7.12,7.12,-1.3,11.62,8.68,22,43,5.81,Augsburg,5,1,2,2,2,8,5,3.92,3.92,9.36,9.36,-5.43,15.81,7.35,25,26,3.26
01/10/2021,FC Cologne,Greuther Fuerth,3-1,1.4,5.0,7.0,1.44,2.75,FC Cologne,6,2,3,1,10,8,9,9.8,9.8,9.77,9.77,0.03,6.69,10.13,43,43,8.4,Greuther Fuerth,6,0,1,5,4,16,1,6.8,5.28,11.53,10.77,-5.49,11.15,8.66,23,48,5.93
02/10/2021,Borussia Dortmund,Augsburg,2-1,1.22,6.5,12.0,1.36,3.2,Borussia Dortmund,6,4,0,2,17,12,12,11.7,10.94,9.23,8.48,2.47,10.49,14.29,65,29,9.61,Augsburg,6,1,2,3,2,11,5,4.11,4.11,13.33,12.57,-8.46,16.17,7.4,27,38,3.26
02/10/2021,Hertha Berlin,Freiburg,1-2,2.9,3.4,2.4,1.97,1.93,Hertha Berlin,6,2,0,4,7,18,6,6.39,5.64,13.27,11.75,-6.12,14.61,6.58,18,61,6.08,Freiburg,6,3,3,0,9,4,12,9.79,9.03,7.31,7.31,1.72,10.93,9.9,34,45,8.8
02/10/2021,VfB Stuttgart,Hoffenheim,3-1,2.62,3.75,2.45,1.44,2.75,VfB Stuttgart,6,1,2,3,9,12,5,10.45,10.45,9.53,8.77,1.67,9.02,11.04,42,44,8.14,Hoffenheim,6,2,2,2,11,8,8,10.67,10.67,8.94,8.94,1.74,11.17,15.47,41,40,9.26
02/10/2021,Wolfsburg,Borussia M.Gladbach,1-3,2.1,3.6,3.4,1.72,2.1,Wolfsburg,6,4,1,1,8,5,13,8.26,6.74,5.37,4.61,2.13,9.5,11.11,41,22,9.96,Borussia M.Gladbach,6,2,1,3,6,9,7,9.71,8.95,9.02,9.02,-0.07,8.14,14.58,43,41,8.85
02/10/2021,RasenBallsport Leipzig,Bochum,3-0,1.2,7.0,12.0,1.4,3.0,RasenBallsport Leipzig,6,2,1,3,12,7,7,11.78,10.27,9.67,8.92,1.35,7.7,10.96,64,29,9.7,Bochum,6,1,1,4,4,13,4,5.26,5.26,14.3,13.54,-8.28,12.29,8.91,21,47,5.51
03/10/2021,Mainz 05,Union Berlin,1-2,2.05,3.5,3.6,2.0,1.8,Mainz 05,6,3,1,2,6,3,10,8.01,8.01,4.52,4.52,3.49,10.56,7.97,34,28,10.6,Union Berlin,6,2,3,1,8,8,9,9.06,8.3,5.66,5.66,2.64,15.73,10.52,27,33,10.9
03/10/2021,Bayern Munich,Eintracht Frankfurt,1-2,1.16,8.0,15.0,1.2,4.5,Bayern Munich,6,5,1,0,23,5,16,22.11,21.36,5.76,5.76,15.6,9.18,12.42,79,21,14.89,Eintracht Frankfurt,6,0,5,1,6,9,5,7.18,7.18,7.83,7.83,-0.64,7.56,12.04,35,42,8.1
03/10/2021,Arminia Bielefeld,Bayer Leverkusen,0-4,5.0,4.0,1.61,1.72,2.1,Arminia Bielefeld,6,0,4,2,3,6,4,4.94,4.94,10.92,10.17,-5.23,14.49,9.7,26,45,3.84,Bayer Leverkusen,6,4,1,1,16,7,13,8.38,8.38,8.44,6.92,1.45,11.01,10.36,32,39,8.36
15/10/2021,Hoffenheim,FC Cologne,5-0,2.0,3.9,3.3,1.44,2.75,Hoffenheim,7,2,2,3,12,11,8,11.65,11.65,9.7,9.7,1.95,11.1,14.55,49,41,10.8,FC Cologne,7,3,3,1,13,9,12,12.67,12.67,10.75,10.75,1.91,6.33,10.42,52,44,11.05
16/10/2021,Borussia Dortmund,Mainz 05,3-1,1.4,5.0,7.5,1.44,2.75,Borussia Dortmund,7,5,0,2,19,13,15,14.42,12.91,9.98,9.22,3.69,9.58,13.39,76,30,12.27,Mainz 05,7,3,1,3,7,5,10,9.26,9.26,5.63,5.63,3.63,10.2,8.8,45,34,12.08
16/10/2021,Eintracht Frankfurt,Hertha Berlin,1-2,1.75,3.8,4.5,1.8,2.0,Eintracht Frankfurt,7,1,5,1,8,10,8,7.57,7.57,10.01,10.01,-2.44,9.13,11.06,37,63,8.32,Hertha Berlin,7,2,0,5,8,20,6,7.31,6.55,14.13,12.61,-6.06,14.59,6.81,20,68,7.49
16/10/2021,Freiburg,RasenBallsport Leipzig,1-1,4.0,4.0,1.85,1.66,2.2,Freiburg,7,4,3,0,11,5,15,10.65,9.89,8.22,8.22,1.67,10.45,10.49,41,47,10.05,RasenBallsport Leipzig,7,3,1,3,15,7,10,14.25,12.73,11.19,10.43,2.3,7.81,11.1,68,34,11.72
16/10/2021,Greuther Fuerth,Bochum,0-1,2.37,3.5,2.9,1.72,2.1,Greuther Fuerth,7,0,1,6,5,19,1,7.78,6.27,14.4,13.64,-7.38,11.29,7.85,24,57,6.16,Bochum,7,1,1,5,4,16,4,6.77,6.77,16.76,16.0,-9.23,12.19,8.88,26,51,6.27
16/10/2021,Union Berlin,Wolfsburg,2-0,2.7,3.25,2.7,2.1,1.72,Union Berlin,7,3,3,1,10,9,12,10.17,9.41,6.91,6.91,2.5,15.6,10.11,33,44,12.12,Wolfsburg,7,4,1,2,9,8,13,9.48,7.96,8.89,7.37,0.59,9.36,11.17,47,26,10.18
