Match Number,Round Number,Date,Location,Home Team,Away Team,Result
43,5,23/09/2023 13:30,An der Alten Försterei,Union Berlin,Hoffenheim,0 - 2
44,5,23/09/2023 13:30,SIGNAL IDUNA PARK,Borussia Dortmund,Wolfsburg,1 - 0
45,5,23/09/2023 13:30,Allianz Arena,Bayern Munich,Bochum,7 - 0
39,5,23/09/2023 16:30,wohninvest WESERSTADION,Werder Bremen,FC Cologne,2 - 1
42,5,24/09/2023 13:30,BayArena,Bayer Leverkusen,FC Heidenheim,4 - 1
41,5,24/09/2023 15:30,Deutsche Bank Park,Eintracht Frankfurt,Freiburg,0 - 0
49,6,29/09/2023 18:30,PreZero Arena,Hoffenheim,Borussia Dortmund,1 - 3
47,6,30/09/2023 13:30,Voith-Arena,FC Heidenheim,Union Berlin,1 - 0
48,6,30/09/2023 13:30,Vonovia Ruhrstadion,Bochum,Borussia M.Gladbach,1 - 3
50,6,30/09/2023 13:30,RheinEnergieSTADION,FC Cologne,VfB Stuttgart,0 - 2
51,6,30/09/2023 13:30,MEWA ARENA,Mainz 05,Bayer Leverkusen,0 - 3
52,6,30/09/2023 13:30,Volkswagen Arena,Wolfsburg,Eintracht Frankfurt,2 - 0
54,6,30/09/2023 16:30,Red Bull Arena,RasenBallsport Leipzig,Bayern Munich,2 - 2
46,6,01/10/2023 13:30,Merck-Stadion am Böllenfalltor,Darmstadt,Werder Bremen,4 - 2
53,6,01/10/2023 15:30,Europa-Park Stadion,Freiburg,Augsburg,2 - 0
58,7,06/10/2023 18:30,BORUSSIA-PARK,Borussia M.Gladbach,Mainz 05,2 - 2
55,7,07/10/2023 13:30,Mercedes-Benz Arena,VfB Stuttgart,Wolfsburg,3 - 1
56,7,07/10/2023 13:30,WWK ARENA,Augsburg,Darmstadt,1 - 2
61,7,07/10/2023 13:30,Red Bull Arena,RasenBallsport Leipzig,Bochum,0 - 0
62,7,07/10/2023 13:30,SIGNAL IDUNA PARK,Borussia Dortmund,Union Berlin,4 - 2
57,7,07/10/2023 16:30,wohninvest WESERSTADION,Werder Bremen,Hoffenheim,2 - 3
60,7,08/10/2023 13:30,BayArena,Bayer Leverkusen,FC Cologne,3 - 0
63,7,08/10/2023 15:30,Allianz Arena,Bayern Munich,Freiburg,3 - 0
59,7,08/10/2023 17:30,Deutsche Bank Park,Eintracht Frankfurt,FC Heidenheim,2 - 0
72,8,20/10/2023 18:30,SIGNAL IDUNA PARK,Borussia Dortmund,Werder Bremen,1 - 0
64,8,21/10/2023 13:30,Merck-Stadion am Böllenfalltor,Darmstadt,RasenBallsport Leipzig,1 - 3
66,8,21/10/2023 13:30,PreZero Arena,Hoffenheim,Eintracht Frankfurt,1 - 3
69,8,21/10/2023 13:30,Volkswagen Arena,Wolfsburg,Bayer Leverkusen,1 - 2
70,8,21/10/2023 13:30,Europa-Park Stadion,Freiburg,Bochum,2 - 1
71,8,21/10/2023 13:30,An der Alten Försterei,Union Berlin,VfB Stuttgart,0 - 3
68,8,21/10/2023 16:30,MEWA ARENA,Mainz 05,Bayern Munich,1 - 3
67,8,22/10/2023 13:30,RheinEnergieSTADION,FC Cologne,Borussia M.Gladbach,3 - 1
65,8,22/10/2023 15:30,Voith-Arena,FC Heidenheim,Augsburg,2 - 5
75,9,27/10/2023 18:30,Vonovia Ruhrstadion,Bochum,Mainz 05,2 - 2
